Player,Season,Team,GP,G,A,P,+/-,P/GP,S,S%
Nathan MacKinnon,20192020,COL,15,9,16,25,13,1.67,65,13.9
Brayden Point,20192020,TBL,15,8,15,23,11,1.53,45,17.8
Nikita Kucherov,20192020,TBL,15,6,16,22,11,1.47,52,11.5
Mikko Rantanen,20192020,COL,15,7,14,21,11,1.4,55,12.7
Miro Heiskanen,20192020,DAL,18,5,16,21,2,1.17,42,11.9
Nazem Kadri,20192020,COL,15,9,9,18,3,1.2,56,16.1
Elias Pettersson,20192020,VAN,17,7,11,18,2,1.06,38,18.4
J.T. Miller,20192020,VAN,17,6,12,18,3,1.06,31,19.4
Andre Burakovsky,20192020,COL,15,7,10,17,7,1.13,24,29.2
Shea Theodore,20192020,VGK,17,6,11,17,6,1,68,8.8
Josh Bailey,20192020,NYI,18,2,15,17,7,0.94,23,8.7
Quinn Hughes,20192020,VAN,17,2,14,16,-2,0.94,30,6.7
Denis Gurianov,20192020,DAL,18,8,7,15,1,0.83,41,19.5
Brock Nelson,20192020,NYI,18,7,8,15,4,0.83,48,14.6
Mark Stone,20192020,VGK,17,6,9,15,0,0.88,30,20
Cale Makar,20192020,COL,15,4,11,15,12,1,36,11.1
Jamie Benn,20192020,DAL,18,5,9,14,-2,0.78,44,11.4
Mathew Barzal,20192020,NYI,18,5,9,14,4,0.78,46,10.9
Victor Hedman,20192020,TBL,15,7,6,13,15,0.87,49,14.3
Jordan Eberle,20192020,NYI,18,4,9,13,6,0.72,45,8.9
Kevin Hayes,20192020,PHI,16,4,9,13,7,0.81,44,9.1
Reilly Smith,20192020,VGK,17,4,9,13,3,0.76,39,10.3
John Klingberg,20192020,DAL,17,3,10,13,-2,0.76,36,8.3
Gabriel Landeskog,20192020,COL,14,2,11,13,7,0.93,35,5.7
Bo Horvat,20192020,VAN,17,10,2,12,0,0.71,48,20.8
Joe Pavelski,20192020,DAL,18,8,4,12,0,0.67,47,17
Anthony Beauvillier,20192020,NYI,18,8,4,12,5,0.67,59,13.6
Brad Marchand,20192020,BOS,13,7,5,12,0,0.92,28,25
David Krejci,20192020,BOS,13,4,8,12,-5,0.92,23,17.4
Sebastian Aho,20192020,CAR,8,3,9,12,6,1.5,15,20
Alexander Radulov,20192020,DAL,18,7,4,11,-4,0.61,34,20.6
Ryan O'Reilly,20192020,STL,9,4,7,11,3,1.22,23,17.4
Brock Boeser,20192020,VAN,17,4,7,11,-1,0.65,31,12.9
Alex Tuch,20192020,VGK,17,8,2,10,3,0.59,46,17.4
Ondrej Palat,20192020,TBL,15,6,4,10,12,0.67,47,12.8
Pierre-Luc Dubois,20192020,CBJ,10,4,6,10,3,1,27,14.8
David Pastrnak,20192020,BOS,10,3,7,10,-3,1,40,7.5
Roope Hintz,20192020,DAL,18,2,8,10,-1,0.56,38,5.3
Samuel Girard,20192020,COL,15,1,9,10,4,0.67,20,5
Anders Lee,20192020,NYI,18,7,2,9,4,0.5,63,11.1
Jean-Gabriel Pageau,20192020,NYI,18,7,2,9,10,0.5,38,18.4
