minutesSommeil,minutesEveil,nombreReveils,tempsLit,minutesSommeilParadoxal,minutesSommeilLeger,minutesSommeilProfond
488,112,45,600,100,300,88
396,106,34,502,41,286,69
449,74,41,523,101,287,61
211,39,13,250,54,117,40
388,96,37,484,73,253,62
445,88,45,533,119,251,75
398,74,46,472,64,233,101
442,82,38,524,57,316,69
398,80,43,478,47,266,85
369,64,34,433,62,230,77
333,96,29,429,22,264,47
369,68,33,437,81,248,40
442,95,47,537,77,243,122
376,108,35,484,28,278,70
462,98,52,560,63,322,77
435,71,40,506,78,277,80
334,76,39,410,36,240,58
358,63,25,421,59,207,92
340,95,36,435,5,270,65
408,124,33,532,20,282,106
369,77,43,446,50,276,43
408,91,43,499,69,254,85
403,107,34,510,59,287,57
363,77,32,440,52,241,70
385,103,32,488,56,225,104
351,98,30,449,41,238,72
447,91,42,538,82,277,88
484,85,48,569,83,317,84
472,105,46,577,73,320,79
444,116,37,560,49,304,91
